"filename", "language", "PHP", "CSS", "JavaScript", "JSON", "Markdown", "XML", "SQL", "Ini", "Properties", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\SellerFactory.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 39
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\SubcategoryFactory.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 27
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\UserFactory.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 59
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_07_28_104445_change_seller.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 41
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_07_28_121910_orders_live_time.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_08_10_162801_change_to_under_reviews.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 35
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_08_11_085428_user_country_lenght.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_08_19_164957_renametotalprice.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_08_26_093708_unique_phone.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_08_26_155619_user_encrypted.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 45
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_08_27_064623_user_email_verified_at.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 35
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_10_15_092225_seller_one_user.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 43
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_10_17_111627_products_one_seller.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 50
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_10_17_145605_fix_products_and_sellers.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 53
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_10_18_072245_order_change_delete_cascade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 39
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_10_18_170248_order_one_seller.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 39
