"filename", "language", "PHP", "JavaScript", "CSS", "Markdown", "XML", "JSON", "SQL", "Properties", "Ini", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\lang\ru\validation.php", "PHP", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 264
"c:\Users\admin\source\repos\Silerium_laravel\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3267, 0, 0, 0, 0, 1, 3268
"c:\Users\admin\source\repos\Silerium_laravel\package.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\admin\source\repos\Silerium_laravel\php_info.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\admin\source\repos\Silerium_laravel\phpunit.xml", "XML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"c:\Users\admin\source\repos\Silerium_laravel\postcss.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\admin\source\repos\Silerium_laravel\public\css\site.css", "CSS", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 17, 89
"c:\Users\admin\source\repos\Silerium_laravel\public\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\Users\admin\source\repos\Silerium_laravel\resources\css\app.css", "CSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\admin\source\repos\Silerium_laravel\resources\js\app.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\admin\source\repos\Silerium_laravel\resources\js\bootstrap.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 23, 8, 36
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\index.blade.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\create.blade.php", "PHP", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 87
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\delete.blade.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 86
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\index.blade.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\reviews.blade.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\products\update.blade.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 110
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\profile.blade.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\traffic.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\users\ban.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\source\repos\Silerium_laravel\resources\views\admin\users\delete.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
